group,replicate,fastq_1,fastq_2,antibody,control,fastq1_url,fastq2_url
WT_NRF1_IP,1,ENCFF002DPA,ENCFF002EFX,NRF1-human,WT_INPUT1,https://www.encodeproject.org/files/ENCFF002DPA/@@download/ENCFF002DPA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFX/@@download/ENCFF002EFX.fastq.gz
WT_NRF1_IP,2,ENCFF002DPF,ENCFF002EFZ,NRF1-human,WT_INPUT2,https://www.encodeproject.org/files/ENCFF002DPF/@@download/ENCFF002DPF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFZ/@@download/ENCFF002EFZ.fastq.gz
WT_NRF1_IP,1,ENCFF002DPB,ENCFF002DUE,NRF1-human,WT_INPUT1,https://www.encodeproject.org/files/ENCFF002DPB/@@download/ENCFF002DPB.fastq.gz,https://www.encodeproject.org/files/ENCFF002DUE/@@download/ENCFF002DUE.fastq.gz
WT_NRF1_IP,2,ENCFF002DPD,ENCFF002EGB,NRF1-human,WT_INPUT2,https://www.encodeproject.org/files/ENCFF002DPD/@@download/ENCFF002DPD.fastq.gz,https://www.encodeproject.org/files/ENCFF002EGB/@@download/ENCFF002EGB.fastq.gz
WT_INPUT1,1,ENCFF002EFF,ENCFF002EFH,,,https://www.encodeproject.org/files/ENCFF002EFF/@@download/ENCFF002EFF.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFH/@@download/ENCFF002EFH.fastq.gz
WT_INPUT2,2,ENCFF002EFA,ENCFF002EFD,,,https://www.encodeproject.org/files/ENCFF002EFA/@@download/ENCFF002EFA.fastq.gz,https://www.encodeproject.org/files/ENCFF002EFD/@@download/ENCFF002EFD.fastq.gz
WT_SIN3B_IP,1,ENCFF526SSV,ENCFF953OIR,SIN3B-human,WT_INPUT3,https://www.encodeproject.org/files/ENCFF526SSV/@@download/ENCFF526SSV.fastq.gz,https://www.encodeproject.org/files/ENCFF953OIR/@@download/ENCFF953OIR.fastq.gz
WT_SIN3B_IP,2,ENCFF044ZTQ,ENCFF119GEQ,SIN3B-human,WT_INPUT4,https://www.encodeproject.org/files/ENCFF044ZTQ/@@download/ENCFF044ZTQ.fastq.gz,https://www.encodeproject.org/files/ENCFF119GEQ/@@download/ENCFF119GEQ.fastq.gz
WT_INPUT3,1,ENCFF498JMO,ENCFF502GTS,,,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
WT_INPUT4,2,ENCFF259GQA,ENCFF837MIV,,,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
WT_HDAC3_IP,1,ENCFF942ZRE,ENCFF908SKY,HDAC3-human,WT_INPUT5,https://www.encodeproject.org/files/ENCFF942ZRE/@@download/ENCFF942ZRE.fastq.gz,https://www.encodeproject.org/files/ENCFF908SKY/@@download/ENCFF908SKY.fastq.gz
WT_HDAC3_IP,2,ENCFF770NDG,ENCFF369MSV,HDAC3-human,WT_INPUT6,https://www.encodeproject.org/files/ENCFF770NDG/@@download/ENCFF770NDG.fastq.gz,https://www.encodeproject.org/files/ENCFF369MSV/@@download/ENCFF369MSV.fastq.gz
WT_INPUT5,1,ENCFF498JMO,ENCFF502GTS,,,https://www.encodeproject.org/files/ENCFF498JMO/@@download/ENCFF498JMO.fastq.gz,https://www.encodeproject.org/files/ENCFF502GTS/@@download/ENCFF502GTS.fastq.gz
WT_INPUT6,2,ENCFF259GQA,ENCFF837MIV,,,https://www.encodeproject.org/files/ENCFF259GQA/@@download/ENCFF259GQA.fastq.gz,https://www.encodeproject.org/files/ENCFF837MIV/@@download/ENCFF837MIV.fastq.gz
